Unnamed: 0,question,answer,파일명,result,source,Contain,bert_f1,f1_score,cosine_similarity
11,24.6월말 기준 금융복합기업집단의 자본적정성 비율이 어느정도였지?,"’24.6월말 금융복합기업집단의 자본적정성 비율은 184.3%로 전년말(193.7%)
대비 9.4%p 하락하였습니다.",241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율.pdf,"2024년 6월말 기준 금융복합기업집단의 자본적정성 비율은 184.3%로, 전년말 대비 9.4%p 하락했습니다.",241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율,1,0.9343518018722534,0.5,0.9671074
12,카카오모빌리티가 증선위에서 왜 조치를 받은거였지?,"증선위는 재무제표의 영업수익과 영업비용을 과대계상한 ㈜카카오모빌리티(이하 ‘회사’)에 대해, “직무상 주의의무를 현저히 결한 중대한 회계처리기준 위반”이 있다고 보아 중징계를 결정하였습니다.","241106(보도참고) 증선위, ㈜카카오모빌리티 회계처리기준 위반에 대하여 중징계 조치.hwp",카카오모빌리티는 신용카드 이용자에게 부가서비스 미제공에 대한 안내가 부족하다는 이유로 증선위에서 조치를 받았습니다.,241007_1630_(보도자료) 신용카드사의 부가서비스 제공 관행 등 개선,0,0.7015463709831238,0.0,0.48364162
13,위메프 티몬 사태 관련 관계부처 TF 3차 회의는 언제 어디서 진행됐었지?,위메프 티몬 사태 관련 관계부처 TF 3차 회의는 24.8.23.(금) 정부서울청사에서 진행되었습니다.,"위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련.pdf",위메프·티몬 사태 관련 관계부처 TF 3차 회의는 2024년 8월 23일 금요일 15:40에 정부서울청사에서 진행되었다.,"위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련",1,0.8730266094207764,0.56,0.88441265
14,"보험부채 할인율 현실화 방안 문서에서, 보험 할인율은 어떻게 계산하고 있지?",할인율은 실무적으로 국고채 수익률을 토대로 산출한 무위험 금리기간구조에 유동성프리미엄을 가산하여 산출합니다.,241106[별첨1] 보험부채 할인율 현실화 연착륙 방안.pdf,보험부채 할인율은 보험계약의 장래 현금 흐름을 추정하고 이를 현재 시점으로 할인하여 시가 평가하는 방식으로 계산된다.,241106[별첨1] 보험부채 할인율 현실화 연착륙 방안,1,0.7399090528488159,0.07692307692307691,0.6923896
15,"대부업계 개인채무자보호법 준비실태 사전 현장점검 결과에 따르면, 개인채무자보호법은 언제 시행되지?",개인채무자보호법은 24.10.17. 시행됩니다.,241106 대부업계 「개인채무자보호법」 준비실태 사전 현장점검 결과.pdf,개인채무자보호법은 2024년 10월 17일부터 시행됩니다.,241007 개인채무자보호법 시행 준비상황 및 향후 추진계획 점검회의 개최,0,0.8639169931411743,0.5,0.7993384
16,카드사 유료 부가상품 관련 원스톱 서비스가 뭐지?,카드사 원스톱 서비스란 모바일 앱에서 유료 부가상품 가입 내역을 통합 조회하고 간편하게 해지할 수 있는 서비스를 말합니다.,241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!.pdf,카드사 유료 부가상품 관련 원스톱 서비스는 소비자들이 모바일 앱에서 유료 부가상품 가입 내역을 통합 조회하고 간편하게 해지할 수 있는 서비스입니다.,241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!,1,0.9209850430488586,0.7999999999999999,0.9558508
17,"24년 11월에 있었던 옴부즈만 위촉 관련, 이번 옴부즈만은 몇기야?",금융감독원은 24.11.4. 외부전문가 5명을 제7기 옴부즈만으로 위촉하였습니다.,241106 (보도참고) 배포시_금융감독원은 제7기 옴부즈만을 신규로 위촉하였습니다.pdf,"이번 옴부즈만은 2024년으로, 첫 번째 기입니다.","240910_금융감독원,「2024년 반부패 청렴 워크숍」개최",0,0.7055026292800903,0.0,0.21218164
18,보험사기로 인해 형사처벌을 받는 경우 형량이 어느정도인지?,보험사기방지특별법상 10년 이하의 징역 또는 5천만원 이하의 벌금을 받게 됩니다.,241104 금융감독원과 부산남부경찰서가 공조 보험사기 적발.pdf,"보험사기로 인해 형사처벌을 받는 경우 형량은 구체적으로 명시되어 있지 않지만, 형사합의금 지급과 관련된 판례에 따르면 형사처벌 경감을 목적으로 하는 합의가 이루어질 수 있습니다.",240828 주요 분쟁사례로 알아보는 소비자 유의사항(교통사고처리지원금 특약 관련),0,0.6802462339401245,0.0,0.59992635
19,경영인정기보험은 누구를 대상으로 가입하는 보험인가?,경영인정기보험은 중소기업이 경영진의 유고 등에 대비하기 위해 대표이사 등을 피보험자로 하여 가입하는 보장성 보험입니다.,241101 경영인정기보험 관련 불건전 영업행위를 지속 점검하겠습니다.pdf,경영인정기보험은 주로 법인과 개인사업자를 대상으로 가입하는 보험입니다.,(별첨4)서면안건,0,0.8442864418029785,0.2857142857142857,0.86250377
20,24년도 3분기 등록 ABS 발행실적이 얼마인지?,24년 3분기 등록 ABS 발행금액은 10.7조원입니다.,241030 (보도자료) 석간_24년 3분기 등록 ABS 발행 실적.pdf,2024년 3분기 등록 ABS 발행금액은 10.7조원입니다.,241030 (보도자료) 석간_24년 3분기 등록 ABS 발행 실적,1,0.9654214382171631,0.8333333333333334,0.9486339
21,중앙은행 디지털화폐(CBDC)가 무엇인지?,"Central Bank Digital Currency의 약자로, 중앙은행이 발행하는 디지털 형태의 새로운 화폐를 의미합니다.",241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정.pdf,"중앙은행 디지털 화폐(CBDC)는 중앙은행이 발행하는 디지털 형태의 새로운 화폐로, 예금 토큰 기반의 지급 및 이체 서비스를 포함하는 시스템입니다.",241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정,1,0.7878269553184509,0.3448275862068966,0.8459891
22,"창구 방문, 복잡한 서류가 필요없는 실손보험 청구 간소화는 언제부터 시행되었지?",24.10.25. 부터 실손보험 청구 전산화가 순차적으로 시행됩니다.,241024 24.10.25일부터 창구 방문 없는실손보험 청구 전산화 순차 시행.pdf,실손보험 청구 간소화는 2024년 10월 25일부터 시행됩니다.,241024 24.10.25일부터 창구 방문 없는실손보험 청구 전산화 순차 시행,1,0.7883034348487854,0.42857142857142855,0.6956232
23,가상자산 불공정거래(시세조종) 사건은 어떻게 이루어졌는지?,"혐의자가 해외 가상자산 발행재단으로부터 전송받은 코인을 국내 가상자산거래소에서 높은 가격에 매도할 목적으로, ①대량 고가 매수주문을 제출한 후 ②API를 통해 허수 매수주문을 지속ㆍ반복 제출하며 시세와 거래량을 인위적으로 변동시켜 일반 이용자가 해당 코인에 대량의 매수세가 유입된 것으로 오인하도록 하는 전형적인 시세조종 방식으로 이루어졌습니다.","241101(보도참고) 금융당국, 가상자산 불공정거래 척결에 나서겠습니다..pdf",가상자산 불공정거래(시세조종) 사건은 혐의자가 해외 발행재단으로부터 받은 코인을 국내 거래소에서 높은 가격에 매도하기 위해 대량 고가 매수주문과 허수 매수주문을 반복 제출하여 시세를 인위적으로 변동시킨 방식으로 이루어졌습니다.,"241101(보도참고) 금융당국, 가상자산 불공정거래 척결에 나서겠습니다.",1,0.8088465929031372,0.4242424242424242,0.80947334
24,사이버위협 대응을 위한 제2금융권 모의해킹은 누가 진행하는지?,금융감독원은 금융보안원과 함께 화이트해커를 통한 제2금융권 블라인드 사이버 모의해킹 훈련을 진행하였습니다.,241023 사이버위협 대응을 위해 화이트해커를 통한 제2금융권 모의해킹 훈련실시.pdf,사이버위협 대응을 위한 제2금융권 모의해킹에 대한 정보는 제공된 구문에서 확인할 수 없습니다.,240806 (보도자료) 조간_위메프-티몬 정산지연 피해판매자 지원방안 시행,0,0.7703696489334106,0.08695652173913043,0.5119475
25,금융감독원이 청년 무료 재무상담 서비스를 제공하는 목적은?,청년들의 장기 재무목표 달성 및 올바른 금융태도 형성 지원을 위해서입니다.,241021 청년들에게 맞춤형 재무상담을 제공해 드립니다.pdf,금융감독원이 청년 무료 재무상담 서비스를 제공하는 목적은 청년들의 자산형성과 경제적 자립을 지원하기 위함입니다.,241021 청년들에게 맞춤형 재무상담을 제공해 드립니다,1,0.7676143050193787,0.08695652173913043,0.75740147
26,"2024년 9월 회사채 발행 총액은 얼마이며, 2024년 8월과 비교해 몇 퍼센트 증가했습니까?","2024년 9월 회사채 발행 총액은 31조 5,354억 원으로, 2024년 8월(19조 7,182억 원) 대비 59.9% 증가하였습니다​.",241022 24.9월중 기업의 직접금융 조달실적.pdf,"2024년 9월 회사채 발행 총액은 201,019억원이며, 2024년 8월과 비교해 15,126억원(7.0%) 감소했습니다.",240925 24.8월중 기업의 직접금융 조달실적,0,0.8831936717033386,0.41666666666666663,0.8075674
27,"2024년 8월 말 국내은행의 원화대출 연체율은 얼마이며, 전월 및 전년 동월 대비 각각 몇 퍼센트포인트 상승했습니까?","2024년 8월 말 국내은행의 원화대출 연체율은 0.53%로, 전월(0.47%) 대비 0.06%p 상승하였으며, 전년 동월(0.43%) 대비 0.10%p 상승하였습니다.",241018 (보도자료) 석간_24.8월말 국내은행의 원화대출 연체율 현황(잠정).pdf,"2024년 8월 말 국내은행의 원화대출 연체율은 0.62%이며, 전월 대비 0.09%p 상승하고 전년 동월 대비 0.15%p 상승했습니다.",241018 (보도자료) 석간_24.8월말 국내은행의 원화대출 연체율 현황(잠정),1,0.9429394602775574,0.5333333333333333,0.97414875
28,"2024년 6월 말 경과조치 적용 후 보험회사들의 평균 지급여력비율(K-ICS)은 얼마이며, 전분기 대비 몇 퍼센트포인트 변화했습니까?","2024년 6월 말 경과조치 적용 후 보험회사들의 평균 지급여력비율(K-ICS)은 217.3%로, 전분기(223.6%) 대비 6.3%p 하락하였습니다​.",241017 (보도자료) 석간_24.6월말 기준 보험회사 지급여력비율 현황.pdf,"2024년 6월 말 경과조치 적용 후 보험회사들의 평균 지급여력비율(K-ICS)은 217.3%이며, 전분기 대비 6.3%포인트 하락했습니다.",241017 (보도자료) 석간_24.6월말 기준 보험회사 지급여력비율 현황,1,0.9586749076843262,0.7142857142857143,0.9909566
29,2024년 10월 17일부터 시행된 개인채무자 보호법의 주요 목적은 무엇입니까?,"개인채무자 보호법의 주요 목적은 금융회사의 채무조정을 활성화하고 연체이자 부담을 완화하며, 채권 매각 및 과도한 채권추심을 규율함으로써 채무자의 재기 가능성을 높이고 금융회사의 회수 가치를 증대하는 것입니다​.",241016 대출을 갚기 어려운 개인채무자의 상환 및 독촉 부담을 완화.pdf,"2024년 10월 17일부터 시행되는 개인채무자 보호법의 주요 목적은 채무자의 경제적 재기를 지원하고 금융회사의 회수 가치를 증대시키며, 연체 장기화에 따른 사회적 비용을 절감하는 것입니다.",241007 [별첨] 「개인채무자보호법」시행 점검회의 모두발언,0,0.8472434282302856,0.3404255319148936,0.78993833
30,"2024년 9월 가계대출 증가폭은 얼마였으며, 전월 대비 어떻게 변화했습니까?","2024년 9월 가계대출 증가폭은 5.2조 원으로, 전월(9.7조 원) 대비 증가폭이 축소되었습니다​.",241011 배포시 (보도참고) 긴장의 끈을 놓지 않고 가계부채를 철저히 관리.pdf,"2024년 9월 가계대출은 +5.2조원 증가하였으며, 전월(+9.7조원) 대비 증가폭이 둔화되었습니다.",240911(보도자료) 2024년 8월중 가계대출 동향(잠정),0,0.9326511025428772,0.39999999999999997,0.96181774
31,2024년 10월 11일 기준금리 인하 이후 금감원이 주목한 주요 금융시장 리스크는 무엇입니까?,"금감원은 기준금리 인하 이후 주택가격 상승 기대감으로 인한 가계부채 확대 가능성, 부실 PF사업장의 정리 지연, 중소금융사의 연체율 상승 등 금융시장 리스크에 주목하고, 이에 대한 철저한 관리 기조를 유지할 것을 강조하였습니다​.","241011 배포시 (보도참고) 금감원, 금융상황 점검회의 개최.pdf","금감원이 주목한 주요 금융시장 리스크는 가계부채와 부동산 PF 등으로, 기준금리 인하에도 불구하고 금융시장의 불확실성이 여전히 높은 상황이라고 평가하고 있습니다.",240801(보도자료) 금융시장 안정을 위해 관계기관 공조 강화,0,0.7819280028343201,0.08333333333333333,0.77311516
32,퇴직연금 실물이전 서비스의 주요 목표는 무엇입니까?,"퇴직연금 실물이전 서비스는 가입자가 기존 상품을 해지하지 않고 사업자를 변경할 수 있도록 하여, 가입자의 손실을 최소화하고, 사업자 간 경쟁을 촉진하여 퇴직연금 수익률 개선을 목표로 합니다. 이 서비스는 2024년 10월 31일부터 개시됩니다​.",241010 (보도자료) 퇴직연금 실물이전서비스 개시.pdf,퇴직연금 실물이전 서비스의 주요 목표는 가입자의 선택권을 확대하고 사업자 간 건전한 경쟁을 촉진하여 퇴직연금 수익률을 개선하는 것입니다.,241010 (보도자료) 퇴직연금 실물이전서비스 개시,1,0.83803391456604,0.3111111111111111,0.77234614
33,2024년 12월부터 이동통신 3사가 추심을 중단하는 통신요금의 기준은 무엇입니까?,"2024년 12월부터 이동통신 3사는 3년 이상 연체된 30만 원 미만의 통신요금에 대해 직접 추심하거나 추심을 위탁하지 않으며, 매각도 하지 않습니다. 해당 금액은 모든 연체 회선의 통신요금을 합산한 기준입니다​.",241008 이동통신3사의 3년 이상 연체된 30만원 미만의 통신요금은 추심하지 않습니다.pdf,2024년 12월부터 이동통신 3사는 3년 이상 연체된 30만원 미만의 통신요금에 대해 추심을 중단합니다.,241008 이동통신3사의 3년 이상 연체된 30만원 미만의 통신요금은 추심하지 않습니다,1,0.8687100410461426,0.5365853658536585,0.90668154
34,"단기매매차익 반환제도의 주요 목적은 무엇이며, 단기매매차익은 어떤 경우에 발생합니까?",단기매매차익 반환제도의 주요 목적은 미공개 정보를 이용한 부당 거래를 사전에 방지하는 것입니다. 단기매매차익은 상장사 임직원 또는 주요주주가 동일 증권을 6개월 이내에 매매하여 이익이 발생한 경우 반환 대상이 됩니다​.,241008 상장사 임직원 주요주주 단기매매차익 발생사례 및 유의사항 안내.pdf,"단기매매차익 반환제도의 주요 목적은 불공정거래 방지이며, 단기매매차익은 6개월 이내의 매매로 발생한 이익에 대해 발생합니다.",241008 상장사 임직원 주요주주 단기매매차익 발생사례 및 유의사항 안내,1,0.8438929319381714,0.3333333333333333,0.872557
35,공개매수 기간 중 투자자들이 주의해야 할 주요 사항은 무엇입니까?,"공개매수 기간 중에는 주가가 급격히 변동할 가능성이 있으며, 특히 경쟁 과열이나 근거 없는 풍문에 현혹되지 않도록 전자공시시스템(DART)을 통해 정확한 정보를 확인해야 합니다. 또한, 공개매수가 장외거래로 세금 등의 영향을 받을 수 있음을 고려해야 합니다.",241008 배포시 (보도자료) 공개매수 관련 소비자경보 발령(주의).pdf,"공개매수 기간 중 투자자들은 정확한 정보를 확인하고, 주가 하락 가능성, 매도 물량 제한, 응모 방법의 차이, 조건 변경 등을 주의해야 합니다.",240927 24년 상반기 중 증권회사 파생결합증권 발행 운용 현황,0,0.7590237259864807,0.18867924528301888,0.7139028
36,구글이 시행하는 금융서비스 인증 절차의 주요 내용은 무엇입니까?,"구글은 국내에서 금융상품 광고를 하려는 광고주에게 금융위원회 등록 여부를 확인하는 인증 절차(FSV)를 마련하였습니다. 인증받지 못한 광고주는 금융상품 광고를 게재할 수 없으며, 이는 2024년 11월 7일부터 시행됩니다​.",241008 (보도자료) 불법사금융 척결 실무TF 개최.pdf,"구글의 금융서비스 인증 절차는 광고주가 금융서비스 광고를 게재하기 전에 금융위원회에 등록된 정보와 일치하는지 확인하고, 비금융 광고주에 대해서는 광고의 타당성을 검증하는 과정을 포함합니다.",241008 (보도자료) 불법사금융 척결 실무TF 개최,1,0.7778889536857605,0.08888888888888889,0.74779713
37,"2024년 상반기 개인사업자대출119 프로그램으로 지원된 총액은 얼마이며, 주된 지원 유형은 무엇입니까?","2024년 상반기 개인사업자대출119 프로그램을 통해 1조 5,414억 원이 지원되었으며, 주요 지원 유형은 만기연장(1조 1,961억 원)과 이자감면(8,412억 원)입니다.",241007_조간 (보도자료) 24년 상반기 국내은행 개인사업자대출119 운영현황.pdf,"2024년 상반기 개인사업자대출119 프로그램으로 지원된 총액은 1조 5,414억원이며, 주된 지원 유형은 만기연장입니다.",241007_조간 (보도자료) 24년 상반기 국내은행 개인사업자대출119 운영현황,1,0.8794007897377014,0.41379310344827586,0.9536604
38,신용카드사의 부가서비스 제공 관행 개선에서 주요 개선 사항은 무엇입니까?,"결제 취소로 한도가 복원되는 경우 누락된 부가서비스를 자동 환급하도록 시스템과 약관을 개선하며, 무이자할부 및 결제취소분 실적 차감방식을 명확히 안내하도록 강화할 예정입니다.",241007_1630_(보도자료) 신용카드사의 부가서비스 제공 관행 등 개선.pdf,신용카드사의 부가서비스 제공 관행 개선의 주요 사항은 부가서비스 누락 방지를 위한 시스템 개선과 신용카드 이용조건에 대한 안내 보완입니다.,241007_1630_(보도자료) 신용카드사의 부가서비스 제공 관행 등 개선,1,0.7396794557571411,0.0,0.606115
39,"개인채무자보호법 시행의 주요 내용은 무엇이며, 시행 이후 정부의 계획은 무엇입니까?","개인채무자보호법은 연체이자 완화, 과도한 추심 제한, 채권 매각 규율 등을 포함하여 채무자의 경제적 재기를 지원합니다. 정부는 시행 후 점검반을 운영하여 사례를 신속히 대응하고, 금융회사와의 협력을 통해 법을 정착시킬 계획입니다.",241007 개인채무자보호법 시행 준비상황 및 향후 추진계획 점검회의 개최.pdf,"개인채무자보호법은 채무자가 금융회사에 직접 채무조정을 요청할 수 있도록 하고, 연체이자 부담을 줄이며, 과도한 채권추심을 제한하는 내용을 포함하고 있으며, 정부는 시행 후 3개월간 계도기간을 두고 점검반을 운영하여 법이 성공적으로 안착될 수 있도록 지원할 계획입니다.",241007 개인채무자보호법 시행 준비상황 및 향후 추진계획 점검회의 개최,1,0.8331118822097778,0.30000000000000004,0.88463914
40,금감원과 한국수자원공사가 체결한 감사업무 협약의 주요 목적은 무엇입니까?,"이 협약의 주요 목적은 감사 정보 및 기법 교류를 통해 감사 성과와 내부통제 체계 강화를 도모하고, 상호 발전을 촉진하는 것입니다.","241007 1100 (보도자료) 금감원, 한국수자원공사와 감사업무협약 체결.pdf","금감원과 한국수자원공사가 체결한 감사업무 협약의 주요 목적은 감사 전문성 향상, 내부통제 체계 강화 및 청렴도 제고를 통해 감사기구의 상호 발전을 도모하는 것입니다.","241007 1100 (보도자료) 금감원, 한국수자원공사와 감사업무협약 체결",1,0.8514911532402039,0.5365853658536586,0.7750498
41,"2024년 상반기 관계형금융 잔액은 얼마이며, 주요 대출 증가율은 어떻게 되었습니까?","2024년 상반기 관계형금융 잔액은 18.4조 원으로, 전년 말 대비 11.4% 증가하였습니다. 중소법인 대출은 8.6%, 개인사업자 대출은 17.2% 증가하였습니다​.",241004_조간_(보도자료) 24년 상반기 관계형금융 취급실적 및 우수은행 평가 결과.pdf,"2024년 상반기 관계형금융 잔액은 5.3조원 증가하였으며, 주요 대출 증가율은 주택담보대출이 5.4조원에서 5.6조원으로 축소되었다.",240812 (보도자료) 2024년 7월중 가계대출 동향(잠정),0,0.8168096542358398,0.26666666666666666,0.8694065
42,전북특별자치도와 금융감독원이 체결한 금융교육 활성화 협약의 주요 내용은 무엇입니까?,"협약의 주요 내용은 청소년 금융이해력 강화, 현직 교사 금융교육 확대, 청년 맞춤형 재무상담 프로그램 운영, 자립준비청년 대상 금융특강 제공 등이 포함되어 있습니다​.",241002_1100 (보도자료) 전북도 도민 금융교육을 적극 지원하겠습니다_F.pdf,"전북특별자치도와 금융감독원이 체결한 금융교육 활성화 협약의 주요 내용은 맞춤형 금융교육 프로그램을 통해 청소년, 청년, 취약계층의 금융역량을 강화하고, 현직 교사들의 금융교육 전문성을 제고하는 것이다.",241002_1100 (보도자료) 전북도 도민 금융교육을 적극 지원하겠습니다_F,1,0.7617523670196533,0.2790697674418604,0.89257824
43,전기자동차 배터리 교체 비용 전액 보상을 받으려면 어떤 약관에 가입해야 합니까?,"전기자동차 배터리 교체 비용 전액 보상을 받기 위해서는 ""전기자동차 배터리 교체비용 전액보상 특별약관""에 별도 가입해야 합니다. 일반 약관에서는 감가상각 금액이 공제됩니다​.",241002 주요 민원사례로 알아보는 소비자 유의사항_자동차보험 특별약관편_F.pdf,전기자동차 배터리 교체 비용 전액 보상을 받으려면 ｢전기자동차 배터리 교체 비용 전액보상 특별약관｣에 가입해야 합니다.,241002 주요 민원사례로 알아보는 소비자 유의사항_자동차보험 특별약관편_F,1,0.9177935719490051,0.5625000000000001,0.96554965
44,START 포털을 통해 인허가 사전협의를 신청한 경우 평균 면담 일정 소요 기간은 얼마나 됩니까?,START 포털을 통해 접수된 인허가 사전협의는 평균적으로 접수 후 약 26일 이내에 면담이 이루어집니다​.,241002 조간 (보도자료) 「START 포털」 운영.pdf,START 포털을 통해 인허가 사전협의를 신청한 경우 평균 면담 일정 소요 기간은 약 26일입니다.,241002 조간 (보도자료) 「START 포털」 운영,1,0.8263596892356873,0.35714285714285715,0.96177197
45,2024년 보험회사의 해약환급금 준비금 제도 개선의 주요 내용은 무엇입니까?,"자본건전성 조건을 충족하는 보험사에 대해 준비금 적립 비율을 기존 대비 80% 수준으로 조정하여 배당가능이익을 확대하며, 지급여력 비율 200% 이상인 보험사부터 우선 적용할 예정입니다.",241002 자본건전성이 충분한 보험회사의 배당가능이익이 종전(IFRS4) 수준으로 확대.pdf,2024년 보험회사의 해약환급금 준비금 제도 개선의 주요 내용은 자본건전성 조건을 충족하는 보험회사에 대해 해약환급금 준비금 적립비율을 조정하여 종전 회계기준(IFRS4)과 유사한 배당가능이익을 확보할 수 있도록 하는 것이다.,241002 자본건전성이 충분한 보험회사의 배당가능이익이 종전(IFRS4) 수준으로 확대,1,0.793839156627655,0.2978723404255319,0.703384
