Unnamed: 0,question,answer,파일명,result,source,Contain,bert_f1,f1_score,cosine_similarity
11,24.6월말 기준 금융복합기업집단의 자본적정성 비율이 어느정도였지?,"’24.6월말 금융복합기업집단의 자본적정성 비율은 184.3%로 전년말(193.7%)
대비 9.4%p 하락하였습니다.",241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율.pdf,"2024년 6월 말 기준 금융복합기업집단의 자본적정성 비율은 184.3%로, 전년말 대비 9.4%p 하락했습니다.","241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율, 241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율, 241004_석간_(보도자료) 2024년 상반기 금융지주회사 경영실적[잠정,연결기준], 241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율, [별첨] 부동산PF에 대한 금융회사의 사업성 평가 결과 및 향후 계획",1,0.9338214993476868,0.4761904761904762,0.96581167
12,카카오모빌리티가 증선위에서 왜 조치를 받은거였지?,"증선위는 재무제표의 영업수익과 영업비용을 과대계상한 ㈜카카오모빌리티(이하 ‘회사’)에 대해, “직무상 주의의무를 현저히 결한 중대한 회계처리기준 위반”이 있다고 보아 중징계를 결정하였습니다.","241106(보도참고) 증선위, ㈜카카오모빌리티 회계처리기준 위반에 대하여 중징계 조치.hwp",카카오모빌리티는 영업수익과 영업비용을 과대계상한 중대한 회계처리기준 위반으로 인해 증선위에서 중징계 조치를 받았다.,"241106(보도참고) 증선위, ㈜카카오모빌리티 회계처리기준 위반에 대하여 중징계 조치, 241106(보도참고) 증선위, ㈜카카오모빌리티 회계처리기준 위반에 대하여 중징계 조치, 241106(보도참고) 증선위, ㈜카카오모빌리티 회계처리기준 위반에 대하여 중징계 조치, 241007_1630_(보도자료) 신용카드사의 부가서비스 제공 관행 등 개선, 241106(보도참고) 증선위, ㈜카카오모빌리티 회계처리기준 위반에 대하여 중징계 조치",1,0.7972034811973572,0.3225806451612903,0.8648083
13,위메프 티몬 사태 관련 관계부처 TF 3차 회의는 언제 어디서 진행됐었지?,위메프 티몬 사태 관련 관계부처 TF 3차 회의는 24.8.23.(금) 정부서울청사에서 진행되었습니다.,"위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련.pdf",위메프·티몬 사태 관련 관계부처 TF 3차 회의는 2024년 8월 23일 금요일 15:40에 정부서울청사에서 진행되었다.,"위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련, 위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련, (금감원) 240730 (보도자료) 위메프 티몬 사태 피해 중소기업 소상공인 대상 유동성 지원, 240807 (경장) 위메프 티몬 사태 추가 대응방안 및 제도개선방향, (금감원) 240730 (보도자료) 위메프 티몬 사태 피해 중소기업 소상공인 대상 유동성 지원",1,0.8730266094207764,0.56,0.88441265
14,"보험부채 할인율 현실화 방안 문서에서, 보험 할인율은 어떻게 계산하고 있지?",할인율은 실무적으로 국고채 수익률을 토대로 산출한 무위험 금리기간구조에 유동성프리미엄을 가산하여 산출합니다.,241106[별첨1] 보험부채 할인율 현실화 연착륙 방안.pdf,"보험부채 할인율은 보험계약의 장래 현금 흐름을 추정하고 이를 현재 시점으로 할인하여 시가 평가하며, 실무적으로는 국고채 수익률을 토대로 산출한 무위험 금리로 계산된다.","241106(보도자료) 합리적인 계리가정과 단계적 할인율 조정, 241106[별첨1] 보험부채 할인율 현실화 연착륙 방안, 241106(보도자료) 합리적인 계리가정과 단계적 할인율 조정, 241106[별첨1] 보험부채 할인율 현실화 연착륙 방안, 241106(보도자료) 합리적인 계리가정과 단계적 할인율 조정",1,0.8039994835853577,0.37499999999999994,0.8044788
15,"대부업계 개인채무자보호법 준비실태 사전 현장점검 결과에 따르면, 개인채무자보호법은 언제 시행되지?",개인채무자보호법은 24.10.17. 시행됩니다.,241106 대부업계 「개인채무자보호법」 준비실태 사전 현장점검 결과.pdf,개인채무자보호법은 2024년 10월 17일부터 시행된다.,"241007 개인채무자보호법 시행 준비상황 및 향후 추진계획 점검회의 개최, 241016 대출을 갚기 어려운 개인채무자의 상환 및 독촉 부담을 완화, 241007 [별첨] 「개인채무자보호법」시행 점검회의 모두발언, 240717 (보도자료) 석간_금감원, 2024년 대부업자 대상 전국 순회 설명회 개최, 241007 개인채무자보호법 시행 준비상황 및 향후 추진계획 점검회의 개최",0,0.8309903740882874,0.25,0.8048706
16,카드사 유료 부가상품 관련 원스톱 서비스가 뭐지?,카드사 원스톱 서비스란 모바일 앱에서 유료 부가상품 가입 내역을 통합 조회하고 간편하게 해지할 수 있는 서비스를 말합니다.,241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!.pdf,카드사 유료 부가상품 관련 원스톱 서비스는 소비자가 가입한 유료 부가상품의 현황을 통합 조회하고 원하지 않는 상품을 간편하게 해지할 수 있는 서비스입니다.,"241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!, 241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!, 241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!, 241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!, 241007_1630_(보도자료) 신용카드사의 부가서비스 제공 관행 등 개선",1,0.8715569376945496,0.5405405405405405,0.791689
17,"24년 11월에 있었던 옴부즈만 위촉 관련, 이번 옴부즈만은 몇기야?",금융감독원은 24.11.4. 외부전문가 5명을 제7기 옴부즈만으로 위촉하였습니다.,241106 (보도참고) 배포시_금융감독원은 제7기 옴부즈만을 신규로 위촉하였습니다.pdf,이번 옴부즈만은 제7기입니다.,"241106 (보도참고) 배포시_금융감독원은 제7기 옴부즈만을 신규로 위촉하였습니다, 241106 (보도참고) 배포시_금융감독원은 제7기 옴부즈만을 신규로 위촉하였습니다, 241106 (보도참고) 배포시_금융감독원은 제7기 옴부즈만을 신규로 위촉하였습니다, 240910_금융감독원,「2024년 반부패 청렴 워크숍」개최, 240910_금융감독원,「2024년 반부패 청렴 워크숍」개최",1,0.7504012584686279,0.0,0.42627692
18,보험사기로 인해 형사처벌을 받는 경우 형량이 어느정도인지?,보험사기방지특별법상 10년 이하의 징역 또는 5천만원 이하의 벌금을 받게 됩니다.,241104 금융감독원과 부산남부경찰서가 공조 보험사기 적발.pdf,보험사기로 인해 형사처벌을 받는 경우 형량은 보험사기방지특별법에 따라 10년 이하의 징역 또는 5천만원 이하의 벌금입니다.,"240828 주요 분쟁사례로 알아보는 소비자 유의사항(교통사고처리지원금 특약 관련), 241104 금융감독원과 부산남부경찰서가 공조 보험사기 적발, 240828 주요 분쟁사례로 알아보는 소비자 유의사항(교통사고처리지원금 특약 관련), 240828 주요 분쟁사례로 알아보는 소비자 유의사항(교통사고처리지원금 특약 관련), 240828 주요 분쟁사례로 알아보는 소비자 유의사항(교통사고처리지원금 특약 관련)",1,0.868320643901825,0.43478260869565216,0.96452165
19,경영인정기보험은 누구를 대상으로 가입하는 보험인가?,경영인정기보험은 중소기업이 경영진의 유고 등에 대비하기 위해 대표이사 등을 피보험자로 하여 가입하는 보장성 보험입니다.,241101 경영인정기보험 관련 불건전 영업행위를 지속 점검하겠습니다.pdf,경영인정기보험은 법인을 대상으로 가입하는 보험입니다.,"240807 (보도자료) 석간_주요 분쟁사례로 알아보는 소비자유의사항 - 누수 사고 보상 관련 -, 241101 경영인정기보험 관련 불건전 영업행위를 지속 점검하겠습니다, (별첨4)서면안건, (별첨4)서면안건, 241106 (보도자료) 석간_K-ICS 내부모형 승인신청 매뉴얼 마련 및 홈페이지 게시",1,0.8468921184539795,0.3157894736842105,0.8742837
20,24년도 3분기 등록 ABS 발행실적이 얼마인지?,24년 3분기 등록 ABS 발행금액은 10.7조원입니다.,241030 (보도자료) 석간_24년 3분기 등록 ABS 발행 실적.pdf,2024년 3분기 등록 ABS 발행금액은 10.7조원이다.,"241030 (보도자료) 석간_24년 3분기 등록 ABS 발행 실적, 240730 (보도자료) 조간 - ’24년 상반기 등록 ABS 발행 실적, 240730 (보도자료) 조간 - ’24년 상반기 등록 ABS 발행 실적, 241030 (보도자료) 석간_24년 3분기 등록 ABS 발행 실적, 241030 (보도자료) 석간_24년 3분기 등록 ABS 발행 실적",1,0.917841374874115,0.6666666666666666,0.9471882
21,중앙은행 디지털화폐(CBDC)가 무엇인지?,"Central Bank Digital Currency의 약자로, 중앙은행이 발행하는 디지털 형태의 새로운 화폐를 의미합니다.",241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정.pdf,"중앙은행 디지털 화폐(CBDC)는 중앙은행이 발행하는 디지털 형태의 새로운 화폐로, 예금 기반의 토큰화된 지급수단을 통해 지급 및 결제 기능을 제공하는 시스템입니다.","241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정, 241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정, 241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정, 241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정, 241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정",1,0.7770711779594421,0.3225806451612903,0.842856
22,"창구 방문, 복잡한 서류가 필요없는 실손보험 청구 간소화는 언제부터 시행되었지?",24.10.25. 부터 실손보험 청구 전산화가 순차적으로 시행됩니다.,241024 24.10.25일부터 창구 방문 없는실손보험 청구 전산화 순차 시행.pdf,실손보험 청구 간소화는 2024년 10월 25일부터 시행됩니다.,"241024 24.10.25일부터 창구 방문 없는실손보험 청구 전산화 순차 시행, 241024 24.10.25일부터 창구 방문 없는실손보험 청구 전산화 순차 시행, 240827 자동차 보험사기로 인한 부당 할증보험료 환급제도 법정화, 241024 24.10.25일부터 창구 방문 없는실손보험 청구 전산화 순차 시행, (별첨1)보험개혁회의 운영방향",1,0.7883034348487854,0.42857142857142855,0.6956232
23,가상자산 불공정거래(시세조종) 사건은 어떻게 이루어졌는지?,"혐의자가 해외 가상자산 발행재단으로부터 전송받은 코인을 국내 가상자산거래소에서 높은 가격에 매도할 목적으로, ①대량 고가 매수주문을 제출한 후 ②API를 통해 허수 매수주문을 지속ㆍ반복 제출하며 시세와 거래량을 인위적으로 변동시켜 일반 이용자가 해당 코인에 대량의 매수세가 유입된 것으로 오인하도록 하는 전형적인 시세조종 방식으로 이루어졌습니다.","241101(보도참고) 금융당국, 가상자산 불공정거래 척결에 나서겠습니다..pdf",가상자산 불공정거래(시세조종) 사건은 해외 가상자산 발행재단으로부터 전송받은 코인을 국내 거래소에서 높은 가격에 매도할 목적으로 이루어졌습니다.,"241101(보도참고) 금융당국, 가상자산 불공정거래 척결에 나서겠습니다., 240822 (영업종료로 인한 가상자산소각 가상자산사업자 사칭 사기를 의심하세요!, 240717(보도자료) 내일(7.19일)부터 가상자산이용자보호법이 시행됩니다., 240822 가상자산사업자의 이상거래 상시감시업무에 대한 현장점검 실시, 241101(보도참고) 금융당국, 가상자산 불공정거래 척결에 나서겠습니다.",1,0.7814916372299194,0.37037037037037035,0.82821685
24,사이버위협 대응을 위한 제2금융권 모의해킹은 누가 진행하는지?,금융감독원은 금융보안원과 함께 화이트해커를 통한 제2금융권 블라인드 사이버 모의해킹 훈련을 진행하였습니다.,241023 사이버위협 대응을 위해 화이트해커를 통한 제2금융권 모의해킹 훈련실시.pdf,"제2금융권 모의해킹은 특정 기관에 대한 언급이 없으므로, 해당 정보를 제공하는 passages가 없습니다.","240911(보도자료) 정부, 불법사금융 척결을 위해 대부업 제도 대대적 개편 추진, 240801 (붙임1) 티메프 피해기업 지원방안, 240923 24년 제2차 「불공정거래 조사심리기관 협의회」 개최, 240722 기업 한도대출 수수료 합리화 투명화 등 개선, 240923 24년 제2차 「불공정거래 조사심리기관 협의회」 개최",0,0.7426993250846863,0.08695652173913043,0.2680741
25,금융감독원이 청년 무료 재무상담 서비스를 제공하는 목적은?,청년들의 장기 재무목표 달성 및 올바른 금융태도 형성 지원을 위해서입니다.,241021 청년들에게 맞춤형 재무상담을 제공해 드립니다.pdf,금융감독원이 청년 무료 재무상담 서비스를 제공하는 목적은 청년들의 장기 재무목표 달성과 올바른 금융태도 형성을 지원하기 위함이다.,"241021 청년들에게 맞춤형 재무상담을 제공해 드립니다, 241021 청년들에게 맞춤형 재무상담을 제공해 드립니다, 240812 (보도자료) 조간_청소년 불법도박 예방 및 치유, ★(보도자료)나도 모르게 실행된 대출 이제는 사전에 차단할 수 있습니다_f, 241002_1100 (보도자료) 전북도 도민 금융교육을 적극 지원하겠습니다_F",1,0.8476358652114868,0.38461538461538464,0.7635251
26,"2024년 9월 회사채 발행 총액은 얼마이며, 2024년 8월과 비교해 몇 퍼센트 증가했습니까?","2024년 9월 회사채 발행 총액은 31조 5,354억 원으로, 2024년 8월(19조 7,182억 원) 대비 59.9% 증가하였습니다​.",241022 24.9월중 기업의 직접금융 조달실적.pdf,"2024년 9월 회사채 발행 총액은 0억원이며, 2024년 8월과 비교해 100% 감소했습니다.","240925 24.8월중 기업의 직접금융 조달실적, 241022 24.9월중 기업의 직접금융 조달실적, 240925 24.8월중 기업의 직접금융 조달실적, 241022 24.9월중 기업의 직접금융 조달실적, 241011 석간 (보도자료) 2024년 9월 외국인 증권투자 동향",1,0.8452305793762207,0.41666666666666663,0.6671915
27,"2024년 8월 말 국내은행의 원화대출 연체율은 얼마이며, 전월 및 전년 동월 대비 각각 몇 퍼센트포인트 상승했습니까?","2024년 8월 말 국내은행의 원화대출 연체율은 0.53%로, 전월(0.47%) 대비 0.06%p 상승하였으며, 전년 동월(0.43%) 대비 0.10%p 상승하였습니다.",241018 (보도자료) 석간_24.8월말 국내은행의 원화대출 연체율 현황(잠정).pdf,"2024년 8월 말 국내은행의 원화대출 연체율은 0.42%이며, 전월 대비 0.09%p 하락하고 전년 동월 대비 0.07%p 상승했습니다.","241018 (보도자료) 석간_24.8월말 국내은행의 원화대출 연체율 현황(잠정), 240920 (보도자료) 석간_24.7월말 국내은행의 원화대출 연체율 현황(잠정), 240716 (보도자료) 석간_24.5월말 국내은행의 원화대출 연체율 현황(잠정), 240820 (보도자료) 석간_24.6월말 국내은행의 원화대출 연체율 현황(잠정), 240820 (보도자료) 석간_24.6월말 국내은행의 원화대출 연체율 현황(잠정)",1,0.9350345730781555,0.5333333333333333,0.9232756
28,"2024년 6월 말 경과조치 적용 후 보험회사들의 평균 지급여력비율(K-ICS)은 얼마이며, 전분기 대비 몇 퍼센트포인트 변화했습니까?","2024년 6월 말 경과조치 적용 후 보험회사들의 평균 지급여력비율(K-ICS)은 217.3%로, 전분기(223.6%) 대비 6.3%p 하락하였습니다​.",241017 (보도자료) 석간_24.6월말 기준 보험회사 지급여력비율 현황.pdf,"2024년 6월 말 경과조치 적용 후 보험회사들의 평균 지급여력비율(K-ICS)은 217.3%이며, 전분기 대비 6.3%p 하락했습니다.","241017 (보도자료) 석간_24.6월말 기준 보험회사 지급여력비율 현황, 241106(보도자료) 합리적인 계리가정과 단계적 할인율 조정, 241017 (보도자료) 석간_24.6월말 기준 보험회사 지급여력비율 현황, 241017 (보도자료) 석간_24.6월말 기준 보험회사 지급여력비율 현황, 241101(보도자료) IFRS17 안착을 위해 보험건전성 감독을 강화합니다",1,0.9739853739738464,0.7857142857142857,0.99513006
29,2024년 10월 17일부터 시행된 개인채무자 보호법의 주요 목적은 무엇입니까?,"개인채무자 보호법의 주요 목적은 금융회사의 채무조정을 활성화하고 연체이자 부담을 완화하며, 채권 매각 및 과도한 채권추심을 규율함으로써 채무자의 재기 가능성을 높이고 금융회사의 회수 가치를 증대하는 것입니다​.",241016 대출을 갚기 어려운 개인채무자의 상환 및 독촉 부담을 완화.pdf,2024년 10월 17일부터 시행되는 개인채무자 보호법의 주요 목적은 금융회사의 자체 채무조정 활성화와 채무자의 경제적 재기를 지원하여 장기연체를 방지하는 것입니다.,"241007 [별첨] 「개인채무자보호법」시행 점검회의 모두발언, 240816 「개인채무자보호법」상 5개 내부기준 모범사례 마련 제공, 240816 「개인채무자보호법」상 5개 내부기준 모범사례 마련 제공, 241007 개인채무자보호법 시행 준비상황 및 향후 추진계획 점검회의 개최, 241007 [별첨] 「개인채무자보호법」시행 점검회의 모두발언",0,0.8440015912055969,0.27906976744186046,0.80878067
30,"2024년 9월 가계대출 증가폭은 얼마였으며, 전월 대비 어떻게 변화했습니까?","2024년 9월 가계대출 증가폭은 5.2조 원으로, 전월(9.7조 원) 대비 증가폭이 축소되었습니다​.",241011 배포시 (보도참고) 긴장의 끈을 놓지 않고 가계부채를 철저히 관리.pdf,"2024년 9월 가계대출은 +5.2조원 증가하였으며, 전월(+9.7조원) 대비 증가폭이 둔화되었습니다.","241011 배포시 (보도참고) 긴장의 끈을 놓지 않고 가계부채를 철저히 관리, 240812 (보도자료) 2024년 7월중 가계대출 동향(잠정), 240821 최근 가계부채 증가세에 대응하여 DSR 중심의 일관된 가계부채 관리기조 확립, 241011 조간 (보도자료) 2024년 9월중 가계대출 동향(잠정), 240911(보도자료) 2024년 8월중 가계대출 동향(잠정)",1,0.9326511025428772,0.39999999999999997,0.96181774
31,2024년 10월 11일 기준금리 인하 이후 금감원이 주목한 주요 금융시장 리스크는 무엇입니까?,"금감원은 기준금리 인하 이후 주택가격 상승 기대감으로 인한 가계부채 확대 가능성, 부실 PF사업장의 정리 지연, 중소금융사의 연체율 상승 등 금융시장 리스크에 주목하고, 이에 대한 철저한 관리 기조를 유지할 것을 강조하였습니다​.","241011 배포시 (보도참고) 금감원, 금융상황 점검회의 개최.pdf",금감원이 주목한 주요 금융시장 리스크는 가계부채의 확대 가능성과 시장의 자금수요 확대에 따른 금융시장의 불확실성입니다.,"241011 배포시 (보도참고) 금감원, 금융상황 점검회의 개최, 240805(보도참고)주식시장 변동성 관련 긴급 시장점검회의, 240801(보도자료) 금융시장 안정을 위해 관계기관 공조 강화, 240801(보도자료) 금융시장 안정을 위해 관계기관 공조 강화, 240919 美 통화정책 전환에 대응해 긴밀한 관계기관 공조 하에 리스크 관리 철저",1,0.7894521951675415,0.09302325581395349,0.70682037
