Unnamed: 0,question,answer,파일명,result
21,중앙은행 디지털화폐(CBDC)가 무엇인지?,"Central Bank Digital Currency의 약자로, 중앙은행이 발행하는 디지털 형태의 새로운 화폐를 의미합니다.",241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정.pdf,"중앙은행 디지털화폐(CBDC)는 중앙은행이 발행하는 디지털 형태의 새로운 화폐를 의미합니다. 이는 기존의 화폐와는 달리 디지털 방식으로 유통되며, 예금 기반의 토큰화된 지급수단을 통해 사용자에게 지급 및 결제 기능을 제공합니다. 예를 들어, 한국은행이 구축할 CBDC 시스템 내에서 은행들이 발행하는 '예금 토큰'은 사용자가 물품이나 서비스를 구매할 때 사용할 수 있는 디지털 자산입니다. 이러한 시스템은 금융 거래의 효율성을 높이고, 국민의 편익을 증대시키는 데 기여할 것으로 기대됩니다 (출처: 241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정.txt)."
22,"창구 방문, 복잡한 서류가 필요없는 실손보험 청구 간소화는 언제부터 시행되었지?",24.10.25. 부터 실손보험 청구 전산화가 순차적으로 시행됩니다.,241024 24.10.25일부터 창구 방문 없는실손보험 청구 전산화 순차 시행.pdf,"실손보험 청구 간소화는 2024년 10월 25일부터 시행됩니다. 이 제도는 창구 방문 없이 복잡한 서류 없이 보험 청구를 전산화하여 진행하는 방식으로, 병원급 의료기관과 보건소를 대상으로 순차적으로 시행될 예정입니다 (출처: 241024 24.10.25일부터 창구 방문 없는실손보험 청구 전산화 순차 시행.txt)."
23,가상자산 불공정거래(시세조종) 사건은 어떻게 이루어졌는지?,"혐의자가 해외 가상자산 발행재단으로부터 전송받은 코인을 국내 가상자산거래소에서 높은 가격에 매도할 목적으로, ①대량 고가 매수주문을 제출한 후 ②API를 통해 허수 매수주문을 지속ㆍ반복 제출하며 시세와 거래량을 인위적으로 변동시켜 일반 이용자가 해당 코인에 대량의 매수세가 유입된 것으로 오인하도록 하는 전형적인 시세조종 방식으로 이루어졌습니다.","241101(보도참고) 금융당국, 가상자산 불공정거래 척결에 나서겠습니다..pdf","가상자산 불공정거래(시세조종) 사건은 혐의자가 해외 가상자산 발행재단으로부터 전송받은 코인을 국내 가상자산거래소에서 높은 가격에 매도할 목적으로 진행되었습니다. 이 사건은 전형적인 시세조종 방식으로, 다음과 같은 절차로 이루어졌습니다. 

1. 대량 고가 매수주문을 제출한 후,
2. API(Application Programming Interface)를 통해 허수 매수주문을 지속적으로 반복 제출하여 시세와 거래량을 인위적으로 변동시켰습니다. 

이러한 방식으로 일반 이용자들이 해당 코인에 대량의 매수세가 유입된 것으로 오인하도록 유도하였고, 이를 통해 혐의자가 얻은 부당이득 규모는 수십 억 원(잠정치) 수준으로 파악되었습니다 (출처: 241101(보도참고) 금융당국, 가상자산 불공정거래 척결에 나서겠습니다..txt)."
24,사이버위협 대응을 위한 제2금융권 모의해킹은 누가 진행하는지?,금융감독원은 금융보안원과 함께 화이트해커를 통한 제2금융권 블라인드 사이버 모의해킹 훈련을 진행하였습니다.,241023 사이버위협 대응을 위해 화이트해커를 통한 제2금융권 모의해킹 훈련실시.pdf,"사이버위협 대응을 위한 제2금융권 모의해킹은 금융감독원이 진행합니다. 금융감독원은 자산건전성 악화 우려가 있는 제2금융권 금융회사에 대해 경영실태평가 및 현장검사를 통해 건전성 관리를 강화하고 있습니다 (출처: 240919 (보도참고) 배포시_금감원, 금융상황 점검회의 개최.txt)."
25,금융감독원이 청년 무료 재무상담 서비스를 제공하는 목적은?,청년들의 장기 재무목표 달성 및 올바른 금융태도 형성 지원을 위해서입니다.,241021 청년들에게 맞춤형 재무상담을 제공해 드립니다.pdf,"금융감독원이 청년 무료 재무상담 서비스를 제공하는 목적은 청년들의 자산형성과 경제적 자립을 지원하기 위함입니다. 이 서비스는 만 19세에서 39세까지의 청년들을 대상으로 하며, 장기 재무목표 달성과 올바른 금융태도 형성을 지원하기 위해 맞춤형 1:1 상담 기회를 제공합니다 (출처: 241021 청년들에게 맞춤형 재무상담을 제공해 드립니다.txt)."
26,"2024년 9월 회사채 발행 총액은 얼마이며, 2024년 8월과 비교해 몇 퍼센트 증가했습니까?","2024년 9월 회사채 발행 총액은 31조 5,354억 원으로, 2024년 8월(19조 7,182억 원) 대비 59.9% 증가하였습니다​.",241022 24.9월중 기업의 직접금융 조달실적.pdf,"2024년 9월 회사채 발행 총액은 1,730,688억 원입니다. 2024년 8월의 발행 총액은 1,800,388억 원이었으므로, 9월의 발행 총액은 8월에 비해 15,126억 원(약 0.9%) 감소했습니다. 따라서, 2024년 9월의 회사채 발행 총액은 2024년 8월과 비교해 증가하지 않았습니다. (출처: 240925 24.8월중 기업의 직접금융 조달실적.txt)"
27,"2024년 8월 말 국내은행의 원화대출 연체율은 얼마이며, 전월 및 전년 동월 대비 각각 몇 퍼센트포인트 상승했습니까?","2024년 8월 말 국내은행의 원화대출 연체율은 0.53%로, 전월(0.47%) 대비 0.06%p 상승하였으며, 전년 동월(0.43%) 대비 0.10%p 상승하였습니다.",241018 (보도자료) 석간_24.8월말 국내은행의 원화대출 연체율 현황(잠정).pdf,"2024년 8월 말 국내은행의 원화대출 연체율은 0.62%입니다. 이는 전월(2024년 7월) 대비 0.09%p 상승하였고, 전년 동월(2023년 8월) 대비 0.15%p 상승한 수치입니다. (출처: 241018 (보도자료) 석간_24.8월말 국내은행의 원화대출 연체율 현황(잠정).txt)"
28,"2024년 6월 말 경과조치 적용 후 보험회사들의 평균 지급여력비율(K-ICS)은 얼마이며, 전분기 대비 몇 퍼센트포인트 변화했습니까?","2024년 6월 말 경과조치 적용 후 보험회사들의 평균 지급여력비율(K-ICS)은 217.3%로, 전분기(223.6%) 대비 6.3%p 하락하였습니다​.",241017 (보도자료) 석간_24.6월말 기준 보험회사 지급여력비율 현황.pdf,"2024년 6월 말 경과조치 적용 후 보험회사들의 평균 지급여력비율(K-ICS)은 217.3%이며, 전분기 대비 6.3%포인트 하락했습니다 (출처: 241017 (보도자료) 석간_24.6월말 기준 보험회사 지급여력비율 현황.txt)."
29,2024년 10월 17일부터 시행된 개인채무자 보호법의 주요 목적은 무엇입니까?,"개인채무자 보호법의 주요 목적은 금융회사의 채무조정을 활성화하고 연체이자 부담을 완화하며, 채권 매각 및 과도한 채권추심을 규율함으로써 채무자의 재기 가능성을 높이고 금융회사의 회수 가치를 증대하는 것입니다​.",241016 대출을 갚기 어려운 개인채무자의 상환 및 독촉 부담을 완화.pdf,"2024년 10월 17일부터 시행되는 개인채무자 보호법의 주요 목적은 개인채무자의 경제적 재기를 지원하고, 금융회사가 채무자와의 직접적인 협의를 통해 채무 문제를 해결할 수 있도록 하는 것입니다. 이 법은 채무자의 연체 이자를 완화하고, 과도한 채권 추심을 제한하며, 채권 매각 관련 규제를 강화하는 내용을 포함하고 있습니다. 이러한 조치를 통해 채무자의 재기 가능성을 높이고, 금융회사의 회수 가치를 증대시키며, 연체 장기화에 따른 사회적 비용을 절감하는 효과를 기대하고 있습니다 (출처: 241007 [별첨] 「개인채무자보호법」시행 점검회의 모두발언.txt)."
30,"2024년 9월 가계대출 증가폭은 얼마였으며, 전월 대비 어떻게 변화했습니까?","2024년 9월 가계대출 증가폭은 5.2조 원으로, 전월(9.7조 원) 대비 증가폭이 축소되었습니다​.",241011 배포시 (보도참고) 긴장의 끈을 놓지 않고 가계부채를 철저히 관리.pdf,"2024년 9월 가계대출은 +5.2조원 증가하였으며, 이는 전월인 8월의 +9.7조원 대비 증가폭이 둔화된 것입니다 (출처: 241011 조간 (보도자료) 2024년 9월중 가계대출 동향(잠정).txt)."
31,2024년 10월 11일 기준금리 인하 이후 금감원이 주목한 주요 금융시장 리스크는 무엇입니까?,"금감원은 기준금리 인하 이후 주택가격 상승 기대감으로 인한 가계부채 확대 가능성, 부실 PF사업장의 정리 지연, 중소금융사의 연체율 상승 등 금융시장 리스크에 주목하고, 이에 대한 철저한 관리 기조를 유지할 것을 강조하였습니다​.","241011 배포시 (보도참고) 금감원, 금융상황 점검회의 개최.pdf","2024년 10월 11일 기준금리 인하 이후 금융감독원이 주목한 주요 금융시장 리스크는 가계부채와 부동산 프로젝트 파이낸싱(PF) 등입니다. 이복현 원장은 기준금리 인하에도 불구하고 시장금리가 이를 선반영하여 낮은 상태이며, 시장의 자금 수요 확대 등을 감안할 때 금융시장의 불확실성이 여전히 높은 상황이라고 평가했습니다. 특히, 가계부채는 우리 경제의 주요 부담으로 지목되며, 이에 대한 철저한 관리가 필요하다고 강조했습니다 (출처: 241011 배포시 (보도참고) 금감원, 금융상황 점검회의 개최.txt)."
32,퇴직연금 실물이전 서비스의 주요 목표는 무엇입니까?,"퇴직연금 실물이전 서비스는 가입자가 기존 상품을 해지하지 않고 사업자를 변경할 수 있도록 하여, 가입자의 손실을 최소화하고, 사업자 간 경쟁을 촉진하여 퇴직연금 수익률 개선을 목표로 합니다. 이 서비스는 2024년 10월 31일부터 개시됩니다​.",241010 (보도자료) 퇴직연금 실물이전서비스 개시.pdf,"퇴직연금 실물이전 서비스의 주요 목표는 퇴직연금 가입자의 선택권을 확대하고, 사업자 간의 건전한 경쟁을 촉진하여 퇴직연금 수익률을 개선하는 것입니다. 이 서비스는 가입자가 기존의 운용 상품을 해지하지 않고도 다른 금융사로 이전할 수 있도록 하여, 이전 과정에서 발생할 수 있는 손실을 최소화하는 데 기여할 것으로 기대됩니다 (출처: 241010 (보도자료) 퇴직연금 실물이전서비스 개시.txt)."
33,2024년 12월부터 이동통신 3사가 추심을 중단하는 통신요금의 기준은 무엇입니까?,"2024년 12월부터 이동통신 3사는 3년 이상 연체된 30만 원 미만의 통신요금에 대해 직접 추심하거나 추심을 위탁하지 않으며, 매각도 하지 않습니다. 해당 금액은 모든 연체 회선의 통신요금을 합산한 기준입니다​.",241008 이동통신3사의 3년 이상 연체된 30만원 미만의 통신요금은 추심하지 않습니다.pdf,2024년 12월부터 이동통신 3사가 추심을 중단하는 통신요금의 기준에 대한 정보는 제공된 자료에서 확인할 수 없습니다. 따라서 해당 기준에 대한 구체적인 내용은 다른 출처를 통해 확인해야 할 것으로 보입니다. (출처: 제공된 자료)
34,"단기매매차익 반환제도의 주요 목적은 무엇이며, 단기매매차익은 어떤 경우에 발생합니까?",단기매매차익 반환제도의 주요 목적은 미공개 정보를 이용한 부당 거래를 사전에 방지하는 것입니다. 단기매매차익은 상장사 임직원 또는 주요주주가 동일 증권을 6개월 이내에 매매하여 이익이 발생한 경우 반환 대상이 됩니다​.,241008 상장사 임직원 주요주주 단기매매차익 발생사례 및 유의사항 안내.pdf,"단기매매차익 반환제도의 주요 목적은 불공정 거래를 방지하는 것입니다. 이 제도는 미공개 정보를 이용했는지 여부와 관계없이, 6개월 이내의 매매로 발생한 이익에 대해 반환을 요구할 수 있습니다. 즉, 단기매매차익은 상장사의 임직원이나 주요 주주가 해당 회사의 주식을 매수한 후 6개월 이내에 매도하여 발생하는 이익을 의미합니다. 이러한 이익은 매매한 주식의 종류가 다르더라도 발생할 수 있으며, 매매일치수량에 따라 계산됩니다 (출처: 241008 상장사 임직원 주요주주 단기매매차익 발생사례 및 유의사항 안내.txt)."
